#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,FALSE
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,FALSE
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,FALSE
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,FALSE
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,FALSE
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,FALSE
282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,FALSE
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,FALSE
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,FALSE
285,Shroomish,Grass,,295,60,40,60,40,60,35,3,FALSE
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,FALSE
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,FALSE
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,FALSE
289,Slaking,Normal,,670,150,160,100,95,65,100,3,FALSE
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,FALSE
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,FALSE
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,FALSE
293,Whismur,Normal,,240,64,51,23,51,23,28,3,FALSE
294,Loudred,Normal,,360,84,71,43,71,43,48,3,FALSE
295,Exploud,Normal,,490,104,91,63,91,73,68,3,FALSE
296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,FALSE
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,FALSE
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,FALSE
299,Nosepass,Rock,,375,30,45,135,45,90,30,3,FALSE
300,Skitty,Normal,,260,50,45,45,35,35,50,3,FALSE
301,Delcatty,Normal,,380,70,65,65,55,55,70,3,FALSE
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,FALSE
302,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,FALSE
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,FALSE
303,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,FALSE
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,FALSE
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,FALSE
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE
306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,FALSE
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,FALSE
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,FALSE
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,FALSE
309,Electrike,Electric,,295,40,45,40,65,40,65,3,FALSE
310,Manectric,Electric,,475,70,75,60,105,60,105,3,FALSE
